U+3400	㐀	qiu1;jau1	⿱卝一
U+3401	㐁	tian4;tim2	㐁
U+3402	㐂	hei2	⿱⿻㇀乚⿰⿻㇀乚⿻㇀乚
U+3404	㐄	kua4	㐄
U+3405	㐅	wu3;ng5	㐅
U+3406	㐆	yin3;zaan2	㐆
U+340C	㐌	yi2;ji4	⿱𠂉也
U+3416	㐖	xie2;zip6	⿰⿱⿱十一口乚
U+341C	㐜	chou2;caau4	⿰⿺⿻一⿻亅⿱丷八丶九
U+3421	㐡	nuo4;no6	⿺九⿱⿱一⿱丿⿵冂⿰丨丨⿻一人
U+3424	㐤	dan1;kaau4	⿺九⿱十⿱⿴且一八
U+3427	㐧	dai6	㐧
U+3428	㐨	xu4;zeoi6	⿰⿱龴⿱乛亅⿱龴⿱乛亅
U+3429	㐩	xing2;zing4	⿰井井
U+342B	㐫	xiong1;gun3;hung1;zung1	⿱⿱丶一⿶凵㐅
U+342C	㐬	liu2;lau4	⿱⿻一厶⿴⿰丿乚
U+342D	㐭	lin3;lam5	⿱⿱丶一⿴囗口
U+342E	㐮	xiang1;soeng1	⿳⿱⿱丶一八⿱井一𧘇
U+342F	㐯	yong1;jung4	⿳⿱丶一⿱口口⿱⿱丿木日
U+3430	㐰	xin4;seon3	⿰亻口
U+3431	㐱	zhen3;caa5;caan2;dou3;zaan2	⿱人彡
U+3432	㐲	dai4;daai6	⿰亻⿻一人
U+3433	㐳	wu4;ngaat6	⿰亻⿱一⿰丿乚
U+3434	㐴	pan1;paan1	⿰亻⿴𠂊丶
U+3435	㐵	ru2;jyu4	⿰亻于
U+3437	㐷	ma3;maa6	⿰亻⿹②一
U+3438	㐸	qian4;gim1;him3	⿰亻欠
U+3439	㐹	yi4;go1;kwok3;ngaat6	⿰亻⿳𠂉一乁
U+343A	㐺	yin2;zung3	⿰亻
U+343B	㐻	nei4;fu1;mou5;noi6	⿰亻⿻冂人
U+343C	㐼	cheng4;cing2	⿰亻⿱丿⿻一⿰丿丨
U+343D	㐽	feng1;fung1	⿰亻⿵几㐅
U+3440	㑀	taai3	⿰亻⿵⿻一人丶
U+3441	㑁	zhuo1;zyut3;zyut6	⿰亻⿱⿻凵丨凵
U+3442	㑂	fang3;fong2;pong4	⿰亻⿱一⿻冂人
U+3443	㑃	ao3;au2;au3;paai1	⿰亻⿰⿰②丶⿻丿𠃌
U+3444	㑄	wu3;mou5	⿰亻母
U+3445	㑅	zuo4;zok3;zok6	⿰亻⿱𠂉⿱⺊一
U+3447	㑇	zhou4;zaau3	⿰亻⿱𠂊彐
U+3448	㑈	dong4;dung1	⿰亻东
U+3449	㑉	su4;cuk1	⿰亻⿵几⿱一⿴𠂊丶
U+344A	㑊	yi4;zik6	⿰亻⿱⿱丶一④
U+344B	㑋	qiong2;kung4	⿰亻曲
U+344C	㑌	kuang1;hong1	⿰亻⿷匚⿱一⿱十一
U+344D	㑍	lei4;leoi5	⿰亻⿻一未
U+344E	㑎	nao3;nou5	⿰亻⿱⿲𡿨𡿨𡿨山
U+344F	㑏	zhu4;cyu5;zyu2	⿰亻⿱宀寸
U+3450	㑐	shu1;suk1	⿰亻⿱⿱⺊一小
U+3454	㑔	xu3;seoi2	⿰亻页
U+3457	㑗	shen1;saan1;saan6	⿰亻身
U+3458	㑘	jie4;gaai3	⿰亻⿹⿻⿺⿻一乚丶⿻一⿰丿丨
U+3459	㑙	die2;dip6	⿰亻⿸耳𠃊
U+345A	㑚	nuo2;naa4;no4	⿰亻⿰⿻⿹𠃌丿⿱一一阝
U+345B	㑛	su4;cuk1	⿰亻束
U+345C	㑜	yi4;zaai6	⿰亻⿰扌⿸𠂆⿱一丨
U+345D	㑝	long4;lung6	⿰亻⿱⿱一⿱十一⿻一⿰丿丨
